2:43:00 90% (17m left); send: 14546187 1.49 Kp/s (1.49 Kp/s avg); recv: 10411 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:01 90% (17m left); send: 14547675 1.49 Kp/s (1.49 Kp/s avg); recv: 10412 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:02 91% (17m left); send: 14549163 1.49 Kp/s (1.49 Kp/s avg); recv: 10412 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:03 91% (17m left); send: 14550651 1.49 Kp/s (1.49 Kp/s avg); recv: 10415 2 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:04 91% (17m left); send: 14552140 1.49 Kp/s (1.49 Kp/s avg); recv: 10417 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:05 91% (17m left); send: 14553627 1.49 Kp/s (1.49 Kp/s avg); recv: 10417 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:06 91% (17m left); send: 14555115 1.49 Kp/s (1.49 Kp/s avg); recv: 10417 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:07 91% (17m left); send: 14556603 1.49 Kp/s (1.49 Kp/s avg); recv: 10418 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:08 91% (17m left); send: 14558091 1.49 Kp/s (1.49 Kp/s avg); recv: 10420 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:09 91% (16m left); send: 14559579 1.49 Kp/s (1.49 Kp/s avg); recv: 10421 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:10 91% (16m left); send: 14561065 1.49 Kp/s (1.49 Kp/s avg); recv: 10422 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:11 91% (16m left); send: 14562555 1.49 Kp/s (1.49 Kp/s avg); recv: 10423 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:12 91% (16m left); send: 14564042 1.49 Kp/s (1.49 Kp/s avg); recv: 10424 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
